search_region_id,daangn_region_id,region_name
333,333,사당제2동
334,334,사당제3동
335,335,사당제4동
336,336,사당제5동
337,337,대방동
338,338,신대방제1동
339,339,신대방제2동
340,355,신림동
341,341,보라매동
342,342,청림동
343,343,성현동
344,344,행운동
345,345,낙성대동
346,346,청룡동
347,347,은천동
348,348,중앙동
349,349,인헌동
350,350,남현동
351,351,서원동
352,352,신원동
353,353,서림동
354,354,신사동
355,355,신림동
356,356,난향동
357,357,조원동
358,358,대학동
359,359,삼성동
360,360,미성동
361,361,난곡동
362,6128,서초동
363,363,서초1동
364,364,서초2동
365,365,서초3동
366,366,서초4동
367,367,잠원동
368,368,반포본동
369,369,반포1동
370,370,반포2동
371,371,반포3동
372,372,반포4동
373,373,방배본동
374,374,방배1동
375,375,방배2동
376,376,방배3동
377,377,방배4동
378,378,양재1동
379,379,양재2동
380,380,내곡동
381,6035,역삼동
382,382,신사동
383,383,논현1동
384,384,논현2동
385,385,압구정동
386,386,청담동
387,387,삼성1동
388,388,삼성2동
389,389,대치1동
390,390,대치2동
391,391,대치4동
392,392,역삼1동
393,393,역삼2동
394,394,도곡1동
395,395,도곡2동
396,396,개포1동
397,397,개포2동
398,398,개포4동
399,399,세곡동
400,400,일원본동
401,401,일원1동
402,402,개포3동
403,403,수서동
404,6188,잠실동
405,405,풍납1동
406,406,풍납2동
407,407,거여1동
408,408,거여2동
409,409,마천1동
410,410,마천2동
411,411,방이1동
412,412,방이2동
413,413,오륜동
414,414,오금동
415,415,송파1동
416,416,송파2동
417,417,석촌동
418,418,삼전동
419,419,가락본동
420,420,가락1동
421,421,가락2동
422,422,문정1동
423,423,문정2동
424,424,장지동
425,425,위례동
426,426,잠실본동
427,427,잠실2동
428,428,잠실3동
429,429,잠실4동
430,430,잠실6동
431,431,잠실7동
432,6044,천호동
433,433,강일동
434,434,상일동
435,435,명일제1동
436,436,명일제2동
437,437,고덕제1동
438,438,고덕제2동
439,439,암사제1동
440,440,암사제2동
441,441,암사제3동
442,442,천호제1동
443,443,천호제2동
444,444,천호제3동
445,445,성내제1동
446,446,성내제2동
447,447,성내제3동
448,448,길동
449,449,둔촌제1동
450,450,둔촌제2동
451,453,중앙동
452,453,중앙동
453,453,중앙동
454,454,동광동
455,455,대청동
456,456,보수동
457,457,부평동
458,458,광복동
459,459,남포동
460,460,영주제1동
461,461,영주제2동
462,475,암남동
463,463,동대신제1동
464,464,동대신제2동
465,465,동대신제3동
466,466,서대신제1동
467,467,서대신제3동
468,468,서대신제4동
469,469,부민동
470,470,아미동
471,471,초장동
472,472,충무동
473,473,남부민제1동
474,474,남부민제2동
475,475,암남동
476,5903,초량동
477,477,초량제1동
478,478,초량제2동
479,479,초량제3동
480,480,초량제6동
481,481,수정제1동
482,482,수정제2동
483,483,수정제4동
484,484,수정제5동
485,485,좌천동
486,486,범일제1동
487,487,범일제2동
